model,pathway,scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
image,SSP2-Base,Business As Usual,RER,Share|cement_SlagClinker,share,0.33,0.33,0.33,0.33,0.33,0.27,0.25
image,SSP2-Base,Business As Usual,RER,Share|cement_ClayClinker,share,0,0.01,0.02,0.03,0.04,0.05,0.06
image,SSP2-Base,Business As Usual,RER,Share|cement_FlyAshClinker,share,0.33,0.26,0.18,0.18,0.31,0.61,0.67
image,SSP2-RCP26,Climate ambitious,RER,Share|cement_Clinker,share,0.33,0.12,0.06,0.49,0.49,0.49,0.49
image,SSP2-RCP26,Climate ambitious,RER,Share|cement_ClayClinker,share,0,0.05,0.1,0.15,0.2,0.25,0.3
image,SSP2-RCP26,Climate ambitious,RER,Share|cement_FlyAshClinker,share,0.33,0.23,0.12,0.04,0.01,0,0
image,SSP3-Base,Regional rivalry,RER,Share|cement_Clinker,share,0.33,0.27,0.24,0.21,0.18,0.08,0
image,SSP3-Base,Regional rivalry,RER,Share|cement_ClayClinker,share,0,0.05,0.1,0.15,0.2,0.25,0.3
image,SSP3-Base,Regional rivalry,RER,Share|cement_FlyAshClinker,share,0.33,0.26,0.18,0.18,0.31,0.61,0.67
image,SSP3-RCP60,Climate disaster,RER,Share|cement_Clinker,share,0.33,0.27,0.24,0.21,0.18,0.08,0
image,SSP3-RCP61,Climate disaster,RER,Share|cement_ClayClinker,share,0,0.05,0.1,0.15,0.2,0.25,0.3
image,SSP3-RCP61,Climate disaster,RER,Share|cement_FlyAshClinker,share,0.33,0.26,0.18,0.18,0.31,0.61,0.67
