model,pathway,scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
image,SSP2-Base,Business As Usual,RER,Share|cement_SlagClinker,share,0.2541,0.2541,0.2541,0.2541,0.2541,0.2079,0.1925
image,SSP2-Base,Business As Usual,RER,Share|cement_ClayClinker,share,0,0.0077,0.0154,0.0231,0.0308,0.0385,0.0462
image,SSP2-Base,Business As Usual,RER,Share|cement_FlyAshClinker,share,0.2541,0.2002,0.1386,0.1386,0.2387,0.4697,0.5159
image,SSP2-Base,Business As Usual,RER,Share|cement_Clinker,share,0.2618,0.308,0.3619,0.3542,0.2464,0.0539,0.0154
image,SSP2-Base,Business As Usual,RER,Share|cement_CEM_IIIA,share,0.13702,0.13702,0.13702,0.13702,0.13702,0.13702,0.13702
image,SSP2-Base,Business As Usual,RER,Share|cement_CEM_IIIB,share,0.04174,0.04174,0.04174,0.04174,0.04174,0.04174,0.04174
image,SSP2-Base,Business As Usual,RER,Share|cement_CEM_IIIC,share,0.0023624,0.0023624,0.0023624,0.0023624,0.0023624,0.0023624,0.0023624
image,SSP2-Base,Business As Usual,RER,Share|cement_CEM_IVA,share,0.017132,0.017132,0.017132,0.017132,0.017132,0.017132,0.017132
image,SSP2-Base,Business As Usual,RER,Share|cement_CEM_IVB,share,0.0019036,0.0019036,0.0019036,0.0019036,0.0019036,0.0019036,0.0019036
image,SSP2-Base,Business As Usual,RER,Share|cement_CEM_VA,share,0.02776,0.02776,0.02776,0.02776,0.02776,0.02776,0.02776
image,SSP2-Base,Business As Usual,RER,Share|cement_CEM_VB,share,0.0039657,0.0039657,0.0039657,0.0039657,0.0039657,0.0039657,0.0039657
image,SSP2-RCP26,Climate ambitious,RER,Share|cement_SlagClinker,share,0.2541,0.0924,0.0462,0.3773,0.3773,0.3773,0.3773
image,SSP2-RCP26,Climate ambitious,RER,Share|cement_ClayClinker,share,0,0.0385,0.077,0.1155,0.154,0.1925,0.231
image,SSP2-RCP26,Climate ambitious,RER,Share|cement_FlyAshClinker,share,0.2541,0.1771,0.0924,0.0308,0.0077,0,0
image,SSP2-RCP26,Climate ambitious,RER,Share|cement_Clinker,share,0.2618,0.462,0.5544,0.2464,0.231,0.2002,0.1617
image,SSP2-RCP26,Climate ambitious,RER,Share|cement_CEM_IIIA,share,0.13702,0.13702,0.13702,0.13702,0.13702,0.13702,0.13702
image,SSP2-RCP26,Climate ambitious,RER,Share|cement_CEM_IIIB,share,0.04174,0.04174,0.04174,0.04174,0.04174,0.04174,0.04174
image,SSP2-RCP26,Climate ambitious,RER,Share|cement_CEM_IIIC,share,0.0023624,0.0023624,0.0023624,0.0023624,0.0023624,0.0023624,0.0023624
image,SSP2-RCP26,Climate ambitious,RER,Share|cement_CEM_IVA,share,0.017132,0.017132,0.017132,0.017132,0.017132,0.017132,0.017132
image,SSP2-RCP26,Climate ambitious,RER,Share|cement_CEM_IVB,share,0.0019036,0.0019036,0.0019036,0.0019036,0.0019036,0.0019036,0.0019036
image,SSP2-RCP26,Climate ambitious,RER,Share|cement_CEM_VA,share,0.02776,0.02776,0.02776,0.02776,0.02776,0.02776,0.02776
image,SSP2-RCP26,Climate ambitious,RER,Share|cement_CEM_VB,share,0.0039657,0.0039657,0.0039657,0.0039657,0.0039657,0.0039657,0.0039657
